2025-04-30T16:28:04.421971,T1,19.42,°C
2025-04-30T16:28:04.422010,H1,64.69,%
2025-04-30T16:28:04.422029,P1,1005.35,hPa
2025-04-30T16:28:04.422045,L1,4940.00,lx
2025-04-30T16:28:06.422318,T1,20.54,°C
2025-04-30T16:28:06.422347,H1,36.38,%
2025-04-30T16:28:06.422369,L1,5073.65,lx
2025-04-30T16:28:08.422690,T1,21.28,°C
2025-04-30T16:28:08.422719,H1,53.18,%
2025-04-30T16:28:08.422735,P1,1014.36,hPa
2025-04-30T16:28:08.422887,L1,4956.11,lx
2025-04-30T16:28:10.423225,T1,18.99,°C
2025-04-30T16:28:10.423251,H1,35.88,%
2025-04-30T16:28:10.423272,L1,5077.94,lx
2025-04-30T16:28:12.423594,T1,21.85,°C
2025-04-30T16:28:12.423621,H1,42.15,%
2025-04-30T16:28:12.423634,P1,1005.41,hPa
2025-04-30T16:28:12.423648,L1,4984.90,lx
2025-04-30T16:28:14.423767,T1,19.93,°C
2025-04-30T16:28:14.423798,H1,55.11,%
2025-04-30T16:28:14.424008,L1,4964.71,lx
2025-04-30T16:28:16.424210,T1,21.17,°C
2025-04-30T16:28:16.424240,H1,52.84,%
2025-04-30T16:28:16.424253,P1,1004.98,hPa
2025-04-30T16:28:16.424267,L1,5127.97,lx
2025-04-30T16:28:18.424390,T1,19.49,°C
2025-04-30T16:28:18.424417,H1,32.00,%
2025-04-30T16:28:18.424439,L1,4945.72,lx
2025-04-30T16:28:20.424709,T1,18.73,°C
2025-04-30T16:28:20.424736,H1,59.68,%
2025-04-30T16:28:20.424850,P1,1008.97,hPa
2025-04-30T16:28:20.424878,L1,5057.27,lx
2025-04-30T16:28:22.425028,T1,20.45,°C
2025-04-30T16:28:22.425065,H1,49.43,%
2025-04-30T16:28:22.425098,L1,4913.04,lx
2025-04-30T16:28:24.425260,T1,19.07,°C
2025-04-30T16:28:24.425304,H1,52.88,%
2025-04-30T16:28:24.425324,P1,1016.93,hPa
2025-04-30T16:28:24.425346,L1,4935.06,lx
2025-04-30T16:28:26.425532,T1,19.51,°C
2025-04-30T16:28:26.425683,H1,35.31,%
2025-04-30T16:28:26.425723,L1,5124.05,lx
2025-04-30T16:28:28.425853,T1,20.75,°C
2025-04-30T16:28:28.425882,H1,38.84,%
2025-04-30T16:28:28.425897,P1,1023.21,hPa
2025-04-30T16:28:28.425912,L1,4927.88,lx
2025-04-30T16:28:30.426050,T1,20.01,°C
2025-04-30T16:28:30.426092,H1,40.08,%
2025-04-30T16:28:30.426134,L1,5157.80,lx
2025-04-30T16:28:32.426290,T1,20.21,°C
2025-04-30T16:28:32.426472,H1,38.05,%
2025-04-30T16:28:32.426532,P1,1012.38,hPa
2025-04-30T16:28:32.426558,L1,5136.90,lx
