timestamp,sensor_id,value,unit
2025-05-14T15:09:09.324158,T1,22.22,°C
2025-05-14T15:09:09.324236,H1,40.94,%
2025-05-14T15:09:09.324270,P1,1009.06,hPa
2025-05-14T15:09:09.324301,L1,6968.23,lx
2025-05-14T15:09:11.324482,T1,23.35,°C
2025-05-14T15:09:11.324535,H1,55.62,%
2025-05-14T15:09:11.324606,L1,7001.01,lx
2025-05-14T15:18:39.559704,T1,21.29,°C
2025-05-14T15:18:39.559812,H1,50.14,%
2025-05-14T15:18:39.559873,P1,1006.99,hPa
2025-05-14T15:18:39.559937,L1,7192.13,lx
2025-05-14T15:18:41.560261,T1,22.63,°C
2025-05-14T15:18:41.560314,H1,46.79,%
2025-05-14T15:18:41.560369,L1,6920.51,lx
2025-05-14T15:54:01.906258,server,1.00,started_on_port_5000
2025-05-14T15:54:04.877689,server,0.00,server_stopped
2025-05-14T15:54:04.877732,server,0.00,server_stopped
2025-05-14T15:54:25.471376,network,1.00,connection
2025-05-14T15:54:29.741456,network,100.00,bytes_sent
2025-05-14T15:54:29.741670,network,1.00,ack_received
2025-05-14T15:54:35.011993,network,100.00,bytes_sent
2025-05-14T15:54:35.012033,network,0.00,invalid_ack: b''
2025-05-14T15:54:36.012401,network,0.00,error: [Errno 32] Broken pipe (attempt 2/4)
2025-05-14T15:54:36.012457,network,0.00,connection_closed
2025-05-14T15:54:36.012790,network,1.00,connection
2025-05-14T15:54:38.013174,network,100.00,bytes_sent
2025-05-14T15:54:38.013384,network,1.00,ack_received
2025-05-14T15:54:18.495991,server,1.00,started_on_port_5000
2025-05-14T15:54:25.471466,server,1.00,connection_from_127.0.0.1:42034
2025-05-14T15:54:29.741675,server,100.00,data_received_from_127.0.0.1:42034
2025-05-14T15:54:29.741700,server,1.00,ack_sent_to_127.0.0.1:42034
2025-05-14T15:54:36.012924,server,1.00,connection_from_127.0.0.1:37948
2025-05-14T15:54:38.013384,server,100.00,data_received_from_127.0.0.1:37948
2025-05-14T15:54:38.013400,server,1.00,ack_sent_to_127.0.0.1:37948
2025-05-14T15:54:39.014589,server,1.00,connection_from_127.0.0.1:32874
2025-05-14T15:54:41.015080,server,100.00,data_received_from_127.0.0.1:32874
2025-05-14T15:54:41.015132,server,1.00,ack_sent_to_127.0.0.1:32874
2025-05-14T15:54:38.013819,network,100.00,bytes_sent
2025-05-14T15:54:38.013852,network,0.00,invalid_ack: b''
2025-05-14T15:54:39.014216,network,0.00,error: [Errno 32] Broken pipe (attempt 2/4)
2025-05-14T15:54:39.014261,network,0.00,connection_closed
2025-05-14T15:54:39.014519,network,1.00,connection
2025-05-14T15:54:41.014846,network,100.00,bytes_sent
2025-05-14T15:54:41.015081,network,1.00,ack_received
