timestamp,sensor_id,value,unit
2025-05-07T15:09:05.101637,T1,21.98,°C
2025-05-07T15:09:05.101715,H1,45.15,%
2025-05-07T15:09:05.101755,P1,1014.41,hPa
2025-05-07T15:09:05.101800,L1,7256.68,lx
2025-05-07T15:09:07.102254,T1,20.34,°C
2025-05-07T15:09:07.102311,H1,54.06,%
2025-05-07T15:09:07.102375,L1,6950.86,lx
2025-05-07T15:09:09.102571,T1,22.03,°C
2025-05-07T15:09:09.102616,H1,35.76,%
2025-05-07T15:09:09.102646,P1,1014.16,hPa
2025-05-07T15:09:09.102835,L1,6958.62,lx
2025-05-07T15:09:11.103175,T1,21.36,°C
2025-05-07T15:09:11.103224,H1,57.69,%
2025-05-07T15:09:11.103260,L1,6885.59,lx
2025-05-07T15:09:13.103456,T1,24.04,°C
2025-05-07T15:09:13.103499,H1,35.74,%
2025-05-07T15:09:13.103524,P1,1005.79,hPa
2025-05-07T15:09:13.103573,L1,7085.68,lx
2025-05-07T15:09:15.103763,T1,23.85,°C
2025-05-07T15:09:15.103869,H1,44.88,%
2025-05-07T15:09:15.104495,L1,6954.93,lx
2025-05-07T15:09:17.104777,T1,21.90,°C
2025-05-07T15:09:17.104839,H1,41.07,%
2025-05-07T15:09:17.104872,P1,1020.09,hPa
2025-05-07T15:09:17.104913,L1,7211.98,lx
